name2_entry,uniprot_id,protein_family,cutoff_high,cutoff_medium,total_datapoints,low_count,medium_count,high_count,unknown_count,low_pct,medium_pct,high_pct,low_to_high_ratio,medium_to_high_ratio,imbalance_ratio,max_class,min_class,n_similar_proteins
CHRM3,P20309,GPCR,7.0,6.0,1498,284,252,962,0,18.958611481975968,16.822429906542055,64.21895861148198,0.29521829521829523,0.26195426195426197,3.8174603174603177,High,Medium,3
CHRNA10,Q9GZZ6,Ion channel,5.0,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,1
CHRNA5,P30532,Ion channel,5.0,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,2
CHRNA7,P36544,Ion channel,5.0,4.0,1617,7,156,1454,0,0.4329004329004329,9.647495361781075,89.91960420531849,0.004814305364511692,0.10729023383768914,207.71428571428572,High,Low,5
CHRNA9,Q9UGM1,Ion channel,5.0,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,1
CNR2,P34972,GPCR,7.0,6.0,4852,964,1360,2528,0,19.868095630667764,28.02967848309975,52.102225886232475,0.3813291139240506,0.5379746835443038,2.6224066390041494,High,Low,2
CNRIP1,Q96F85,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
CYP1A2,P05177,Non-IDG Family Targets,6.0,5.0,540,93,174,273,0,17.22222222222222,32.22222222222222,50.55555555555556,0.34065934065934067,0.6373626373626373,2.935483870967742,High,Low,3
CYP2B6,P20813,Non-IDG Family Targets,6.0,5.0,79,55,16,8,0,69.62025316455697,20.253164556962027,10.126582278481013,6.875,2.0,6.875,Low,High,3
CYP2C19,P33261,Non-IDG Family Targets,6.0,5.0,671,235,319,117,0,35.02235469448584,47.540983606557376,17.436661698956783,2.0085470085470085,2.7264957264957266,2.7264957264957266,Medium,High,5
CYP2C9,P11712,Non-IDG Family Targets,6.0,5.0,671,235,319,117,0,35.02235469448584,47.540983606557376,17.436661698956783,2.0085470085470085,2.7264957264957266,2.7264957264957266,Medium,High,5
CYP2D6,P10635,Non-IDG Family Targets,6.0,5.0,616,163,263,190,0,26.461038961038962,42.6948051948052,30.844155844155846,0.8578947368421053,1.3842105263157896,1.6134969325153374,Medium,Low,4
CYP3A4,P08684,Non-IDG Family Targets,6.0,5.0,1406,436,640,330,0,31.0099573257468,45.519203413940254,23.470839260312946,1.3212121212121213,1.9393939393939394,1.9393939393939394,Medium,High,6
DIDO1,Q9BTC0,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
FMO1,Q01740,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
GABPA,Q06546,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
HRH1,P35367,GPCR,7.0,6.0,1460,355,416,689,0,24.315068493150687,28.493150684931507,47.1917808219178,0.5152394775036284,0.6037735849056604,1.9408450704225353,High,Low,3
HSD11B1,P28845,Non-IDG Family Targets,6.0,5.0,2726,34,299,2393,0,1.247248716067498,10.968451944240645,87.78429933969186,0.014208106978687839,0.12494776431257835,70.38235294117646,High,Low,4
HTR2B,P41595,GPCR,7.0,6.0,1215,249,525,441,0,20.493827160493826,43.20987654320987,36.2962962962963,0.564625850340136,1.1904761904761905,2.108433734939759,Medium,Low,2
KCNH2,Q12809,Ion channel,5.0,4.0,4492,3,1205,3284,0,0.06678539626001781,26.82546749777382,73.10774710596615,0.0009135200974421437,0.3669305724725944,1094.6666666666667,High,Low,7
MAOA,P21397,Non-IDG Family Targets,6.0,5.0,3589,937,1030,1622,0,26.10755084981889,28.698801894678184,45.19364725550293,0.5776818742293465,0.6350184956843403,1.7310565635005337,High,Low,7
MAOB,P27338,Non-IDG Family Targets,6.0,5.0,3589,937,1030,1622,0,26.10755084981889,28.698801894678184,45.19364725550293,0.5776818742293465,0.6350184956843403,1.7310565635005337,High,Low,7
NAT8,Q9UHE5,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
NR1I2,O75469,Nuclear receptor,7.0,6.0,344,183,114,47,0,53.19767441860465,33.13953488372093,13.662790697674417,3.893617021276596,2.425531914893617,3.893617021276596,Low,High,2
NR1I3,Q14994,Nuclear receptor,7.0,6.0,59,29,13,17,0,49.152542372881356,22.033898305084744,28.8135593220339,1.7058823529411764,0.7647058823529411,2.230769230769231,Low,Medium,1
ORM1,P02763,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
OXA1L,Q15070,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
SCN5A,Q14524,Ion channel,5.0,4.0,364,0,91,273,0,0.0,25.0,75.0,0.0,0.3333333333333333,3.0,High,Medium,6
SLC6A2,P23975,Non-IDG Family Targets,6.0,5.0,2573,71,589,1913,0,2.759424795958026,22.89156626506024,74.34900893898173,0.037114479874542604,0.30789336121275485,26.943661971830984,High,Low,4
SLC6A3,Q01959,Non-IDG Family Targets,6.0,5.0,2814,161,789,1864,0,5.721393034825871,28.038379530916846,66.24022743425728,0.08637339055793991,0.4232832618025751,11.577639751552795,High,Low,5
SLC6A4,P31645,Non-IDG Family Targets,6.0,5.0,4981,150,745,4086,0,3.011443485243927,14.956835976711504,82.03172053804457,0.03671071953010279,0.18232990699951052,27.24,High,Low,3
SLCO2B1,O94956,Non-IDG Family Targets,6.0,5.0,33,18,12,3,0,54.54545454545454,36.36363636363637,9.090909090909092,6.0,4.0,6.0,Low,High,1
SMPDL3A,Q92484,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
XDH,P47989,Non-IDG Family Targets,6.0,5.0,470,90,108,272,0,19.148936170212767,22.97872340425532,57.87234042553191,0.33088235294117646,0.39705882352941174,3.022222222222222,High,Low,2
GABRA1,P14867,Ion channel,5.0,4.0,676,0,5,671,0,0.0,0.7396449704142012,99.2603550295858,0.0,0.007451564828614009,134.2,High,Medium,18
